drug_abbreviation,page,context
ETR,74,"der  (see prescribing information  for Cabenuva
 and 
Edurant ). 
• Efavirenz (EFV)  
• Etravirine (ETR)  Coadministration may reduce corticosteroid concentrations.  Dexamethasone (systemic):  Conside"
LEN,74,"long -term use; if benefits of use outweigh risks, monitor for 
virologic response.  
Lenacapavir (LEN) for HIV 
treatment  • Moderate inhibition of CYP3A4 and P -gP potentially increases 
corticoste"
LEN,74,"long -term use; if benefits of use outweigh risks, monitor for 
virologic response.  
Lenacapavir (LEN) for HIV 
treatment  • Moderate inhibition of CYP3A4 and P -gP potentially increases 
corticoste"
LEN,74,"long -term use; if benefits of use outweigh risks, monitor for 
virologic response.  
Lenacapavir (LEN) for HIV 
treatment  • Moderate inhibition of CYP3A4 and P -gP potentially increases 
corticoste"
LEN,74,"long -term use; if benefits of use outweigh risks, monitor for 
virologic response.  
Lenacapavir (LEN) for HIV 
treatment  • Moderate inhibition of CYP3A4 and P -gP potentially increases 
corticoste"
LEN,74,"long -term use; if benefits of use outweigh risks, monitor for 
virologic response.  
Lenacapavir (LEN) for HIV 
treatment  • Moderate inhibition of CYP3A4 and P -gP potentially increases 
corticoste"
LEN,74,"long -term use; if benefits of use outweigh risks, monitor for 
virologic response.  
Lenacapavir (LEN) for HIV 
treatment  • Moderate inhibition of CYP3A4 and P -gP potentially increases 
corticoste"
LEN,75,"tion  Clinical Comments  
• After stopping use of moderate  CYP3A4 inducer, continue to 
administer LEN PrEP every 6 months as scheduled without 
supplemental subcutaneous dosing.  Supplemental dosing"
LEN,75,"tion  Clinical Comments  
• After stopping use of moderate  CYP3A4 inducer, continue to 
administer LEN PrEP every 6 months as scheduled without 
supplemental subcutaneous dosing.  Supplemental dosing"
LEN,75,"tion  Clinical Comments  
• After stopping use of moderate  CYP3A4 inducer, continue to 
administer LEN PrEP every 6 months as scheduled without 
supplemental subcutaneous dosing.  Supplemental dosing"
LEN,75,"tion  Clinical Comments  
• After stopping use of moderate  CYP3A4 inducer, continue to 
administer LEN PrEP every 6 months as scheduled without 
supplemental subcutaneous dosing.  Supplemental dosing"
DTG,75,"hibitors (MAOIs) 
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Do"
BIC,75,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  No sig"
CAB,75,"Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  No significant interactions r"
RAL,75,"ents  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  No significant interactions reported.  No dose adju"
RPV,75,"utegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  No significant interactions reported.  No dose adjustments are necessary."
DOR,75,"ictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  No significant interactions reported.  No dose adjustments are necessary.  
• Elvitegravir (EV"
EVG,75,"(DOR)  No significant interactions reported.  No dose adjustments are necessary.  
• Elvitegravir (EVG), boosted  
• Boosted PIs  Trazodone:  Concomitant use may increase trazodone 
concentrations. T"
EFV,75,"one 
concentrations. Trazodone:  Monitor for antidepressant and/or sedative effects.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • Trazodone:  EFV and ETR may decrease trazodone 
concentrations. 
• Bupr"
ETR,75,"Trazodone:  Monitor for antidepressant and/or sedative effects.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • Trazodone:  EFV and ETR may decrease trazodone 
concentrations. 
• Bupropion:  
‒ EFV may in"
EFV,75,"one 
concentrations. Trazodone:  Monitor for antidepressant and/or sedative effects.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • Trazodone:  EFV and ETR may decrease trazodone 
concentrations. 
• Bupr"
ETR,75,"Trazodone:  Monitor for antidepressant and/or sedative effects.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • Trazodone:  EFV and ETR may decrease trazodone 
concentrations. 
• Bupropion:  
‒ EFV may in"
EFV,75,"one 
concentrations. Trazodone:  Monitor for antidepressant and/or sedative effects.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • Trazodone:  EFV and ETR may decrease trazodone 
concentrations. 
• Bupr"
ETR,75,"Trazodone:  Monitor for antidepressant and/or sedative effects.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • Trazodone:  EFV and ETR may decrease trazodone 
concentrations. 
• Bupropion:  
‒ EFV may in"
DTG,76,"ng information)  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Do"
BIC,76,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  
• Fos"
CAB,76,"Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No signi"
RAL,76,"ents  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions re"
RPV,76,"utegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjus"
DOR,76,"ictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjustments are necessary."
FTR,76,"abotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Elvitegravir (EVG),"
EVG,76,"vir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Elvitegravir (EVG), boosted  • Boosting with cobicistat:  May increase benzodiazepine 
concentrations via CYP3A4 i"
COBI,76,"concentrations via CYP3A4 inhibition.  
• Midazolam, triazolam:  Levels likely to be increased by COBI-
boosted EVG  • Alprazolam, clonazepam, diazepam: Consider alternative 
benzodiazepine (e.g., l"
EVG,76,"vir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Elvitegravir (EVG), boosted  • Boosting with cobicistat:  May increase benzodiazepine 
concentrations via CYP3A4 i"
EFV,76,"dose; monitor closely for adverse effects.  
• Diazepam: Monitor for excess sedation.  
Efavirenz (EFV)  Alprazolam, diazepam:  EFV may reduce alprazolam and 
diazepam concentrations.  • Alprazolam:"
EFV,76,"dose; monitor closely for adverse effects.  
• Diazepam: Monitor for excess sedation.  
Efavirenz (EFV)  Alprazolam, diazepam:  EFV may reduce alprazolam and 
diazepam concentrations.  • Alprazolam:"
EFV,76,"dose; monitor closely for adverse effects.  
• Diazepam: Monitor for excess sedation.  
Efavirenz (EFV)  Alprazolam, diazepam:  EFV may reduce alprazolam and 
diazepam concentrations.  • Alprazolam:"
ETR,76,"am:  Titrate slowly to achieve 
clinical effect; monitor for benzodiazepine efficacy.  
Etravirine (ETR)  Alprazolam, diazepam:  ETR may reduce alprazolam and 
diazepam concentrations.  Alprazolam: Mo"
ETR,76,"am:  Titrate slowly to achieve 
clinical effect; monitor for benzodiazepine efficacy.  
Etravirine (ETR)  Alprazolam, diazepam:  ETR may reduce alprazolam and 
diazepam concentrations.  Alprazolam: Mo"
LEN,76,"am and 
diazepam concentrations.  Alprazolam: Monitor for benzodiazepine withdrawal.  
Lenacapavir (LEN)  Midazolam (oral), triazolam:  Moderate inhibition of CYP3A4 and 
P-gP potentially increases se"
COBI,76,"concentrations via CYP3A4 inhibition.  
• Midazolam, triazolam:  Levels likely to be increased by COBI-
boosted EVG  • Alprazolam, clonazepam, diazepam: Consider alternative 
benzodiazepine (e.g., l"
DTG,77,"eon, suvorexant  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Do"
BIC,77,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  
• Fos"
CAB,77,"Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No signi"
RAL,77,"ents  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions re"
RPV,77,"utegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjus"
DOR,77,"ictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjustments are necessary."
FTR,77,"abotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Elvitegravir (EVG),"
EVG,77,"vir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Elvitegravir (EVG), boosted  • Suvorexant is a CYP3A substrate.  
• COBI inhibits CYP3A.  
• Zolpidem, eszopiclone"
COBI,77,"se adjustments are necessary.  
Elvitegravir (EVG), boosted  • Suvorexant is a CYP3A substrate.  
• COBI inhibits CYP3A.  
• Zolpidem, eszopiclone:  These drugs are CYP3A substrates and 
may be increa"
RTV,77,"dem, suvorexant:  Boosted PIs may increase zolpidem and 
suvorexant concentrations.  
• Ramelteon:  RTV-boosted PIs may reduce ramelteon efficacy.  • Zolpidem: Administer lowest effective dose; monito"
EFV,77,"e sleep medication or ARV.  
• Ramelteon: Monitor for efficacy in  cigarette smokers. 
• Efavirenz (EFV)  
• Etravirine (ETR)  Zolpidem:  EFV and ETR may reduce zolpidem concentrations.  • Zolpidem, e"
ETR,77,"ARV.  
• Ramelteon: Monitor for efficacy in  cigarette smokers. 
• Efavirenz (EFV)  
• Etravirine (ETR)  Zolpidem:  EFV and ETR may reduce zolpidem concentrations.  • Zolpidem, eszopiclone: Monitor f"
EFV,77,"e sleep medication or ARV.  
• Ramelteon: Monitor for efficacy in  cigarette smokers. 
• Efavirenz (EFV)  
• Etravirine (ETR)  Zolpidem:  EFV and ETR may reduce zolpidem concentrations.  • Zolpidem, e"
ETR,77,"ARV.  
• Ramelteon: Monitor for efficacy in  cigarette smokers. 
• Efavirenz (EFV)  
• Etravirine (ETR)  Zolpidem:  EFV and ETR may reduce zolpidem concentrations.  • Zolpidem, eszopiclone: Monitor f"
RTV,77,"dem, suvorexant:  Boosted PIs may increase zolpidem and 
suvorexant concentrations.  
• Ramelteon:  RTV-boosted PIs may reduce ramelteon efficacy.  • Zolpidem: Administer lowest effective dose; monito"
DTG,78,"ation, atypical  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  No sig"
BIC,78,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  No significant interactions"
CAB,78,"Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  No significant interactions are expected.  No dose"
RAL,78,"ents  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  No significant interactions are expected.  No dose adjustments are necess"
DOR,78,"lutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  No significant interactions are expected.  No dose adjustments are necessary.  
Elvitegravir ("
EVG,78,"DOR)  No significant interactions are expected.  No dose adjustments are necessary.  
Elvitegravir (EVG), boosted  Several antipsychotic agents are substrates of CYP3A, and 
inhibitors of this enzyme"
RTV,78,": Boosted PIs may moderately increase haloperidol 
concentrations. 
• Aripiprazole, brexpiprazole:  RTV-boosted PIs may increase 
aripiprazole and brexpiprazole levels.  
• Risperidone: Boosted PIs ma"
RTV,79,"n, second-generation, atypical  
Class or Drug  Mechanism of Action  Clinical Comments  
Ritonavir (RTV)  • Haloperidol: Boosted PIs may moderately increase haloperidol 
concentrations. 
• Aripiprazol"
RTV,79,"n, second-generation, atypical  
Class or Drug  Mechanism of Action  Clinical Comments  
Ritonavir (RTV)  • Haloperidol: Boosted PIs may moderately increase haloperidol 
concentrations. 
• Aripiprazol"
RTV,79,"n, second-generation, atypical  
Class or Drug  Mechanism of Action  Clinical Comments  
Ritonavir (RTV)  • Haloperidol: Boosted PIs may moderately increase haloperidol 
concentrations. 
• Aripiprazol"
ATV,79,"S(c) 2024] . 
• Clozapine:  Monitor carefully for clozapine- related adverse 
effects. 
Atazanavir (ATV), unboosted  Lurasidone:  ATV decreases lurasidone metabolism via CYP3A.  Lurasidone: Decrease l"
ATV,79,"S(c) 2024] . 
• Clozapine:  Monitor carefully for clozapine- related adverse 
effects. 
Atazanavir (ATV), unboosted  Lurasidone:  ATV decreases lurasidone metabolism via CYP3A.  Lurasidone: Decrease l"
RPV,79,"ase lurasidone dose by 50%; monitor for 
adverse effects, including QT prolongation.  
Rilpivirine (RPV)  No significant interactions reported.  No dose adjustments are necessary, but avoid excess dos"
RPV,79,"ase lurasidone dose by 50%; monitor for 
adverse effects, including QT prolongation.  
Rilpivirine (RPV)  No significant interactions reported.  No dose adjustments are necessary, but avoid excess dos"
EFV,79,"hotic or RPV because excess doses of both drugs 
may increase risk of QT prolongation.  
Efavirenz (EFV)  • Quetiapine:  EFV may reduce quetiapine concentrations.  
• Aripiprazole, brexpiprazole:  EFV"
EFV,79,"hotic or RPV because excess doses of both drugs 
may increase risk of QT prolongation.  
Efavirenz (EFV)  • Quetiapine:  EFV may reduce quetiapine concentrations.  
• Aripiprazole, brexpiprazole:  EFV"
EFV,79,"hotic or RPV because excess doses of both drugs 
may increase risk of QT prolongation.  
Efavirenz (EFV)  • Quetiapine:  EFV may reduce quetiapine concentrations.  
• Aripiprazole, brexpiprazole:  EFV"
EFV,79,"hotic or RPV because excess doses of both drugs 
may increase risk of QT prolongation.  
Efavirenz (EFV)  • Quetiapine:  EFV may reduce quetiapine concentrations.  
• Aripiprazole, brexpiprazole:  EFV"
ETR,80,", second-generation, atypical  
Class or Drug  Mechanism of Action  Clinical Comments  
Etravirine (ETR)  • Aripiprazole, brexpiprazole:  ETR may decrease aripiprazole 
and brexpiprazole concentration"
ETR,80,", second-generation, atypical  
Class or Drug  Mechanism of Action  Clinical Comments  
Etravirine (ETR)  • Aripiprazole, brexpiprazole:  ETR may decrease aripiprazole 
and brexpiprazole concentration"
